Variable 2015-2020,Variable 2021,Description,Options
,CATAG6,Age category ,"2 = 18-25 Years Old, 3 = 26-34 Years Old, 4 = 35-49 Years Old, 5 = 50-64 Years Old"
,IRSEX,Gender,"1 = Male, 2 = Female"
,NEWRACE2,Race/ethnicity ,"1 = Non-Hispanic White, 2 = Non-Hispanic Black/African American, 3 = Non-Hispanic Native American/Alaskan Native, 4 = Non-Hispanic Native Hawaiian/Pacific Islander, 5 = Non-Hispanic Asian, 6 = Non-Hispanic more than one race, 7 = Hispanic"
,EDUHIGHCAT,Highest level of education completed ,"1 = Less than high school, 2 = High school graduate, 3 = Some college/Associate degree, 4 = College graduate, 5 = 12-17 year olds"
,IRWRKSTAT18,Work status for respondents aged 18+ ,"1 = Employed full-time, 2 = Employed part-time, 3 = Unemployed, 4 = Other (incl. not in labor force), 99 = 12-17 year olds"
,COUTYP4,County type classification,"1 = Large Metro, 2 = Small Metro, 3 = Nonmetro"
,IRINSUR4,Health insurance coverage ,"1 = Yes, 2 = No"
,IRFAMIN3,Family income ,"1 = Less than $10,000, 2 = $10,000 - $19,999, 3 = $20,000 - $29,999, 4 = $30,000 - $39,999, 5 = $40,000 - $49,999, 6 = $50,000 - $74,999, 7 = $75,000 or more"
,IRPINC3,Personal income ,"1 = Less than $10,000, 2 = $10,000 - $19,999, 3 = $20,000 - $29,999, 4 = $30,000 - $39,999, 5 = $40,000 - $49,999, 6 = $50,000 - $74,999, 7 = $75,000 or more"
,IRMARIT,Marital status ,"1 = Married, 2 = Widowed, 3 = Divorced or Separated, 4 = Never Been Married, 99 = LEGITIMATE SKIP Respondent is <= 14 years old"
,BNGDRKMON,Binge drinking in the past month,"0 = No, 1 = Yes "
,HVYDRKMON,Heavy alcohol use in the past month,"0 = No, 1 = Yes "
,ILLYR,Illicit drug use in the past 12 months ,"0 = No, 1 = Yes"
ABODALC,IRPYUD5ALC,Substance use disorder (alcohol),"0 = No, 1 = Yes"
UDPYILL,UD5ILLANY,Substance use disorder (any illicit drug),"0 = No, 1 = Yes"
AMDEY2_U,IRAMDEYR,Major depressive episode in the past 12 months ,"0 = No, 1 = Yes"
MI_CAT_U,MICATPY,Mental illness in the past year ,"0 = No, 1 = Mild, 2 = Moderate, 3 = Serious"
MHSUITHK,IRSUICTHNK,Serious thoughts of suicide in the past year,"0 = No, 1 = Yes"
MHSUITRY,IRSUITRYYR,Attempted suicide in the past year,"0 = No, 1 = Yes"
MHSUIPLN,IRSUIPLANYR,Made a suicide plan in the past year,"0 = No, 1 = Yes"
,SNYATTAK,Attack someone with intention to injure them seriously in the past year ,"1 = Yes, 2 = No, 85 = BAD DATA, 89 = LEGITIMATE SKIP, 97 = REFUSED, 98 = BLANK, 99 = LEGITIMATE SKIP"
,BKSEXNR,History of arrest or booking history due to Sexual Offence in the past year ,"1 = Yes, 2 = No, 85 = BAD DATA, 89 = LEGITIMATE SKIP, 97 = REFUSED, 98 = BLANK, 99 = LEGITIMATE SKIP"
,BKARSON,History of arrest or booking history due to Arson in the past year  ,"1 = Yes, 2 = No, 85 = BAD DATA, 89 = LEGITIMATE SKIP, 97 = REFUSED, 98 = BLANK, 99 = LEGITIMATE SKIP"
,BKROB,History of arrest or booking history due to Robbery in the past year ,"1 = Yes, 2 = No, 85 = BAD DATA, 89 = LEGITIMATE SKIP, 97 = REFUSED, 98 = BLANK, 99 = LEGITIMATE SKIP"
,BKSRVIOL,History of arrest or booking history due to Violent Offence in the past year ,"1 = Yes, 2 = No, 85 = BAD DATA, 89 = LEGITIMATE SKIP, 97 = REFUSED, 98 = BLANK, 99 = LEGITIMATE SKIP"
,BKSMASLT,History of arrest or booking history due to Assault in the past year ,"1 = Yes, 2 = No, 85 = BAD DATA, 89 = LEGITIMATE SKIP, 97 = REFUSED, 98 = BLANK, 99 = LEGITIMATE SKIP"
AMHTXAND,AMHTXAND4,Perceived unmet need for treatment,"1 = Yes, 3 = No"
AMHTXRC3,AMHTXYR4,Received any mental health treatment in the past year,"1 = Yes, 2 = No"
AMHINP2,AMHINP2,Received inpatient mental health treatment in the past year,"1 = Yes, 2 = No"
AMHOUTP3,AMHOUTP4,Received outpatient mental health treatment in the past year,"1 = Yes, 2 = No"
,MHRNCOV2,Insurance not covered enough,"0 = No, 1 = Yes"
,MHRNBRS2,Fear of social stigma,"0 = No, 1 = Yes"
,MHRTRAN2,Transportation issues,"0 = No, 1 = Yes"
,MHRTIME2,Time issues ,"0 = No, 1 = Yes"
,AUUNNCOV,Insurance not covered,"0 = No, 1 = Yes"
,MHRWHER2,Do not know where to get mental health treatment ,"0 = No, 1 = Yes"
,MHRNOHP2,Do not think treatment would help,"0 = No, 1 = Yes"
,AUUNCOST,Cost barrier,"0 = No, 1 = Yes"
,MHRHAND2,Thought able to handle the issue themselves,"0 = No, 1 = Yes"
,AUUNCMIT,Fear of being committed to medication,"0 = No, 1 = Yes"
,MHRJOBS2,Fear of losing job,"0 = No, 1 = Yes"
,MHRCMIT2,Fear of commitment,"0 = No, 1 = Yes"
,MHRCFID2,Fear of confidentiality issue,"0 = No, 1 = Yes"
,MHRFOUT2,Fear of being found out ,"0 = No, 1 = Yes"
